time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
1200,2023-05-24 09:08:04,37.181489564022,128.192822082291,0,,,1283.8896713338,0.328084,0,0.06752624888,0.217464245804,15,5,0,1283.8896713338,0,0,0.06752624888,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
1300,2023-05-24 09:08:04,37.1814895828784,128.192822080582,0,,,1283.8896713338,0.328084,0,0.073885172968,0.22436188382,15,5,0,1283.8896713338,0,0,0.073885172968,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
1400,2023-05-24 09:08:04,37.1814895410064,128.192821931091,0,,,1283.8896713338,0.328084,0,0.059048230236,0.270423893168,15,5,0,1283.8896713338,0,0,0.073885172968,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
1500,2023-05-24 09:08:04,37.1814895545666,128.192821917354,0,,,1283.8896713338,0.328084,0,0.065125658252,0.276781833004,15,5,0,1283.8896713338,0,0,0.073885172968,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
1600,2023-05-24 09:08:04,37.1814896828057,128.19282210909,0,,,1283.8896713338,0.328084,0,0.111186355264,0.34955053612,15,5,0,1283.8896713338,0,0,0.111186355264,0,0,0,94.3, 3.2, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
1700,2023-05-24 09:08:04,37.1814897049865,128.192822113769,0,,,1283.8896713338,0.328084,0,0.119344163924,0.3577591978,15,5,0,1283.8896713338,0,0,0.119344163924,0,0,0,94.3, 3.1, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
1800,2023-05-24 09:08:04,37.1814896539107,128.192821951621,0,,,1283.8896713338,0.328084,0,0.097522312832,0.40844161412,15,5,17.029,1283.8896713338,0,0,0.119344163924,0,0,0,94.4, 3, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
1900,2023-05-24 09:08:04,37.1814896662879,128.192821940514,0,,,1283.8896713338,0.328084,0,0.10251476706,0.4139927954,15,5,17.029,1283.8896713338,0,0,0.119344163924,0,0,0,94.4, 1, 3.4,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
2000,2023-05-24 09:08:04,37.1814896083671,128.192822130376,0,,,1283.8896713338,0.328084,0,0.08781660386,0.47309056632,15,5,17.029,1283.8896713338,0,0,0.119344163924,0,0,0,94.6, -3.2, 3,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
2100,2023-05-24 09:08:04,37.1814896938075,128.192822171353,0,,,1283.8896713338,0.328084,0,0.121132549808,0.5064632708,15,5,17.029,1283.8896713338,0,0,0.121132549808,0,0,-0.223694,94.8, -6.5, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,94.1,0,0,96,4.261,4.256,4.255,4.257,0,0,0,32,1283.8896713338,0,11,AutoTakeoff,
